~iteration~,knn_monitor_accuracy
0,15.428571428571427
1,18.0
2,14.857142857142858
3,15.428571428571427
4,15.428571428571427
5,15.428571428571427
6,18.285714285714285
7,17.71428571428571
8,20.285714285714285
9,18.571428571428573
10,17.71428571428571
11,19.142857142857142
12,18.0
13,21.142857142857142
14,19.142857142857142
15,16.57142857142857
16,22.0
17,21.714285714285715
18,18.571428571428573
19,21.428571428571427
20,20.857142857142858
21,19.714285714285715
22,19.714285714285715
23,19.714285714285715
24,19.714285714285715
25,22.285714285714285
26,16.57142857142857
27,20.857142857142858
28,20.857142857142858
29,18.571428571428573
30,18.285714285714285
31,22.0
32,21.428571428571427
33,19.428571428571427
34,21.714285714285715
35,22.0
36,21.142857142857142
37,22.285714285714285
38,23.714285714285715
39,17.142857142857142
40,20.857142857142858
41,23.42857142857143
42,24.0
43,20.0
44,22.0
45,21.142857142857142
46,21.142857142857142
47,26.285714285714285
48,18.0
49,17.42857142857143
50,20.57142857142857
51,23.42857142857143
52,22.857142857142858
53,21.714285714285715
54,21.714285714285715
55,22.57142857142857
56,24.0
57,24.285714285714285
58,21.428571428571427
59,23.142857142857142
60,24.285714285714285
61,24.571428571428573
62,23.42857142857143
63,21.714285714285715
64,23.142857142857142
65,23.142857142857142
66,24.857142857142858
67,23.714285714285715
68,25.71428571428571
69,20.857142857142858
70,23.142857142857142
71,21.714285714285715
72,22.0
73,22.0
74,23.142857142857142
75,22.57142857142857
76,24.0
77,22.857142857142858
78,22.857142857142858
79,24.0
80,22.285714285714285
81,23.714285714285715
82,23.714285714285715
83,24.285714285714285
84,23.142857142857142
85,27.42857142857143
86,25.142857142857146
87,24.0
88,25.71428571428571
89,25.71428571428571
90,24.571428571428573
91,25.142857142857146
92,25.71428571428571
93,22.285714285714285
94,24.0
95,25.71428571428571
96,25.71428571428571
97,24.285714285714285
98,25.71428571428571
99,24.571428571428573
100,25.142857142857146
101,23.42857142857143
102,24.857142857142858
103,26.571428571428573
104,25.71428571428571
105,26.285714285714285
106,24.0
107,24.285714285714285
108,24.571428571428573
109,25.428571428571427
110,25.71428571428571
111,23.714285714285715
112,23.714285714285715
113,26.285714285714285
114,23.42857142857143
115,23.714285714285715
116,22.0
117,24.0
118,25.428571428571427
119,24.571428571428573
120,23.42857142857143
121,23.714285714285715
122,23.42857142857143
123,22.57142857142857
124,22.285714285714285
125,23.714285714285715
126,25.428571428571427
127,23.42857142857143
128,22.285714285714285
129,24.0
130,25.142857142857146
131,27.142857142857142
132,21.714285714285715
133,22.0
134,22.857142857142858
135,22.285714285714285
136,24.857142857142858
137,24.571428571428573
138,25.142857142857146
139,22.285714285714285
140,24.0
141,21.714285714285715
142,22.285714285714285
143,25.142857142857146
144,23.142857142857142
145,24.285714285714285
146,26.285714285714285
147,21.428571428571427
148,25.142857142857146
149,25.428571428571427
150,22.0
151,26.571428571428573
152,23.714285714285715
153,23.714285714285715
154,28.000000000000004
155,24.571428571428573
156,28.285714285714285
157,24.285714285714285
158,24.857142857142858
159,26.285714285714285
160,22.285714285714285
161,28.000000000000004
162,26.0
163,26.285714285714285
164,25.71428571428571
165,24.0
166,27.714285714285715
167,27.42857142857143
168,26.285714285714285
169,25.142857142857146
170,28.000000000000004
171,24.857142857142858
172,27.142857142857142
173,25.142857142857146
174,23.42857142857143
175,24.857142857142858
176,26.571428571428573
177,26.857142857142858
178,27.142857142857142
179,24.571428571428573
180,23.42857142857143
181,26.285714285714285
182,28.285714285714285
183,26.571428571428573
184,27.142857142857142
185,25.428571428571427
186,28.285714285714285
187,25.71428571428571
188,30.28571428571429
189,26.285714285714285
190,27.142857142857142
191,28.57142857142857
192,27.142857142857142
193,26.857142857142858
194,26.285714285714285
195,28.857142857142858
196,28.285714285714285
197,27.714285714285715
198,28.857142857142858
199,27.714285714285715
200,29.142857142857142
201,29.142857142857142
202,30.28571428571429
203,27.42857142857143
204,28.000000000000004
205,25.71428571428571
206,28.57142857142857
207,26.857142857142858
208,25.142857142857146
209,25.142857142857146
210,26.857142857142858
211,25.142857142857146
212,28.57142857142857
213,26.285714285714285
214,27.142857142857142
215,28.857142857142858
216,28.285714285714285
217,23.42857142857143
218,26.571428571428573
219,24.0
220,26.0
221,28.000000000000004
222,27.42857142857143
223,27.42857142857143
224,29.142857142857142
225,27.42857142857143
226,28.285714285714285
227,28.000000000000004
228,28.857142857142858
229,28.285714285714285
230,27.142857142857142
231,28.57142857142857
232,28.000000000000004
233,27.714285714285715
234,27.42857142857143
235,29.142857142857142
236,30.28571428571429
237,27.42857142857143
238,30.857142857142854
239,26.0
240,30.28571428571429
241,25.71428571428571
242,27.714285714285715
243,28.857142857142858
244,28.857142857142858
245,28.57142857142857
246,29.142857142857142
247,28.000000000000004
248,29.428571428571427
249,26.857142857142858
250,30.28571428571429
251,28.57142857142857
252,29.428571428571427
253,26.857142857142858
254,30.0
255,32.57142857142858
256,30.28571428571429
257,29.428571428571427
258,29.428571428571427
259,32.285714285714285
260,29.428571428571427
261,29.714285714285715
262,29.142857142857142
263,28.857142857142858
264,30.571428571428573
265,29.142857142857142
