~iteration~,embedding_size,memory_size,queue_idx
0,128,4096,256
1,128,4096,512
2,128,4096,768
3,128,4096,1024
4,128,4096,1280
5,128,4096,1536
6,128,4096,1792
7,128,4096,2048
8,128,4096,2304
9,128,4096,2560
10,128,4096,2816
11,128,4096,3072
12,128,4096,3328
13,128,4096,3584
14,128,4096,3840
15,128,4096,0
16,128,4096,256
17,128,4096,512
18,128,4096,768
19,128,4096,1024
20,128,4096,1280
21,128,4096,1536
22,128,4096,1792
23,128,4096,2048
24,128,4096,2304
25,128,4096,2560
26,128,4096,2816
27,128,4096,3072
28,128,4096,3328
29,128,4096,3584
30,128,4096,3840
31,128,4096,0
32,128,4096,256
33,128,4096,512
34,128,4096,768
35,128,4096,1024
36,128,4096,1280
37,128,4096,1536
38,128,4096,1792
39,128,4096,2048
40,128,4096,2304
41,128,4096,2560
42,128,4096,2816
43,128,4096,3072
44,128,4096,3328
45,128,4096,3584
46,128,4096,3840
47,128,4096,0
48,128,4096,256
49,128,4096,512
50,128,4096,768
51,128,4096,1024
52,128,4096,1280
53,128,4096,1536
54,128,4096,1792
55,128,4096,2048
56,128,4096,2304
57,128,4096,2560
58,128,4096,2816
59,128,4096,3072
60,128,4096,3328
61,128,4096,3584
62,128,4096,3840
63,128,4096,0
64,128,4096,256
65,128,4096,512
66,128,4096,768
67,128,4096,1024
68,128,4096,1280
69,128,4096,1536
70,128,4096,1792
71,128,4096,2048
72,128,4096,2304
73,128,4096,2560
74,128,4096,2816
75,128,4096,3072
76,128,4096,3328
77,128,4096,3584
78,128,4096,3840
79,128,4096,0
80,128,4096,256
81,128,4096,512
82,128,4096,768
83,128,4096,1024
84,128,4096,1280
85,128,4096,1536
86,128,4096,1792
87,128,4096,2048
88,128,4096,2304
89,128,4096,2560
90,128,4096,2816
91,128,4096,3072
92,128,4096,3328
93,128,4096,3584
94,128,4096,3840
95,128,4096,0
96,128,4096,256
97,128,4096,512
98,128,4096,768
99,128,4096,1024
100,128,4096,1280
101,128,4096,1536
102,128,4096,1792
103,128,4096,2048
104,128,4096,2304
105,128,4096,2560
106,128,4096,2816
107,128,4096,3072
108,128,4096,3328
109,128,4096,3584
110,128,4096,3840
111,128,4096,0
112,128,4096,256
113,128,4096,512
114,128,4096,768
115,128,4096,1024
116,128,4096,1280
117,128,4096,1536
118,128,4096,1792
119,128,4096,2048
120,128,4096,2304
121,128,4096,2560
122,128,4096,2816
123,128,4096,3072
124,128,4096,3328
125,128,4096,3584
126,128,4096,3840
127,128,4096,0
128,128,4096,256
129,128,4096,512
130,128,4096,768
131,128,4096,1024
132,128,4096,1280
133,128,4096,1536
134,128,4096,1792
135,128,4096,2048
136,128,4096,2304
137,128,4096,2560
138,128,4096,2816
139,128,4096,3072
140,128,4096,3328
141,128,4096,3584
142,128,4096,3840
143,128,4096,0
144,128,4096,256
145,128,4096,512
146,128,4096,768
147,128,4096,1024
148,128,4096,1280
149,128,4096,1536
150,128,4096,1792
151,128,4096,2048
152,128,4096,2304
153,128,4096,2560
154,128,4096,2816
155,128,4096,3072
156,128,4096,3328
157,128,4096,3584
158,128,4096,3840
159,128,4096,0
160,128,4096,256
161,128,4096,512
162,128,4096,768
163,128,4096,1024
164,128,4096,1280
165,128,4096,1536
166,128,4096,1792
167,128,4096,2048
168,128,4096,2304
169,128,4096,2560
170,128,4096,2816
171,128,4096,3072
172,128,4096,3328
173,128,4096,3584
174,128,4096,3840
175,128,4096,0
176,128,4096,256
177,128,4096,512
178,128,4096,768
179,128,4096,1024
180,128,4096,1280
181,128,4096,1536
182,128,4096,1792
183,128,4096,2048
184,128,4096,2304
185,128,4096,2560
186,128,4096,2816
187,128,4096,3072
188,128,4096,3328
189,128,4096,3584
190,128,4096,3840
191,128,4096,0
192,128,4096,256
193,128,4096,512
194,128,4096,768
195,128,4096,1024
196,128,4096,1280
197,128,4096,1536
198,128,4096,1792
199,128,4096,2048
200,128,4096,2304
201,128,4096,2560
202,128,4096,2816
203,128,4096,3072
204,128,4096,3328
205,128,4096,3584
206,128,4096,3840
207,128,4096,0
208,128,4096,256
209,128,4096,512
210,128,4096,768
211,128,4096,1024
